name,score,profit,competition,verdict,confidence
Easy to know the water temperature😏#gadg,162.87,HIGH,HIGH,SELL THIS,95
🔗In Bio! Mini Bag Sealer💙 #amazonhome #a,85.53,HIGH,HIGH,TEST,75
Amazon Summer MustHave Finds ✨  This vid,48.23,MEDIUM,MEDIUM,TEST,60
#AmazonFinds #MustHaves2025 #AmazonFavor,38.38,MEDIUM,MEDIUM,SKIP,30
#AmazonFinds #MustHaves2025 #AmazonFavor,32.62,MEDIUM,MEDIUM,SKIP,30
Best Amazon Finds 2026‼️🔥🔥This unique 2-,19.85,MEDIUM,MEDIUM,SKIP,30
Amazon Dog Essentials Finds ✨  This vide,15.77,LOW,LOW,SKIP,30
"daily find, ice maker available #amazonh",0.0,LOW,LOW,SKIP,30
Egg shell opener #fyp #tiktokmademebuyit,0.0,HIGH,HIGH,SKIP,30
ninja ice cream 🍨 machine disponible #am,0.0,LOW,LOW,SKIP,30
